ID,gender,dir,degree,average
107702024,2,1,2,1882.5025
107702024,2,1,3,2356.0792
107702024,2,1,4,2232.2834
107702024,2,2,1,2114.8964
107702024,2,2,2,2214.584997
107702024,2,2,3,2445.4514
107702024,2,2,4,2549.8502
107702027,1,1,1,614.4578
107702027,1,1,2,1051.9398
107702027,1,1,3,1145.0183
107702027,1,1,4,893.9922
107702027,1,2,1,1298.9519
107702027,1,2,2,918.2355622
107702027,1,2,3,1252.631
107702027,1,2,4,1316.1054
107702030,1,1,1,845.1722
107702030,1,1,2,1486.3997
107702030,1,1,3,1081.4767
107702030,1,1,4,1994.9243
107702030,1,2,1,1375.2615
107702030,1,2,2,1395.249229
107702030,1,2,3,1781.6155
107702030,1,2,4,1985.9573
107702035,1,1,1,844.4061
107702035,1,1,2,1045.6937
107702035,1,1,3,1650.9835
107702035,1,1,4,1876.4454
107702035,1,2,1,1198.2374
107702035,1,2,2,1268.804328
107702035,1,2,3,1957.1072
107702035,1,2,4,1520.793
107702037,2,1,1,925.457
107702037,2,1,2,1723.5735
107702037,2,1,3,2129.2396
107702037,2,1,4,2764.2073
107702037,2,2,1,1706.6062
107702037,2,2,2,1634.759763
107702037,2,2,3,2165.5559
107702037,2,2,4,2395.8107
107702039,1,1,1,846.1802
107702039,1,1,2,1377.7337
107702039,1,1,3,1173.5134
107702039,1,1,4,2082.3705
107702039,1,2,1,1278.7256
107702039,1,2,2,1311.479154
107702039,1,2,3,1797.2359
107702039,1,2,4,1657.2917
107702040,2,1,1,782.4377
107702040,2,1,2,1121.0556
107702040,2,1,3,1533.0677
107702040,2,1,4,1382.8133
107702040,2,2,1,1142.3476
107702040,2,2,2,1041.640631
107702040,2,2,3,1186.8837
107702040,2,2,4,1156.1718
107702043,2,1,1,1146.4236
107702043,2,1,2,1619.6053
107702043,2,1,3,2212.3714
107702043,2,1,4,2072.0784
107702043,2,2,1,1618.2622
107702043,2,2,2,1625.784935
107702043,2,2,3,2236.8074
107702043,2,2,4,2185.299
107702045,2,1,1,967.7946
107702045,2,1,2,1217.4105
107702045,2,1,3,1797.4238
107702045,2,1,4,1774.2568
107702045,2,2,1,1162.5639
107702045,2,2,2,1247.883293
107702045,2,2,3,1399.6662
107702045,2,2,4,1498.1599
107702046,2,1,1,936.7183
107702046,2,1,2,1435.1445
107702046,2,1,3,1789.0105
107702046,2,1,4,2008.951
107702046,2,2,1,1507.763
107702046,2,2,2,1452.503312
107702046,2,2,3,1851.7798
107702046,2,2,4,2110.0874
107702050,1,1,1,1046.4997
107702050,1,1,2,1667.9485
107702050,1,1,3,2355.7481
107702050,1,1,4,2328.8843
107702050,1,2,1,1750.7178
107702050,1,2,2,1721.36634
107702050,1,2,3,2573.2885
107702050,1,2,4,2669.6786
107702051,2,1,1,1014.7156
107702051,2,1,2,1734.7766
107702051,2,1,3,2184.0069
107702051,2,1,4,2086.9594
107702051,2,2,1,1731.7017
107702051,2,2,2,1749.277541
107702051,2,2,3,2341.6424
107702051,2,2,4,2571.2265
107702053,1,1,1,912.8012
107702053,1,1,2,1436.7116
107702053,1,1,3,2202.3433
107702053,1,1,4,1904.797
107702053,1,2,1,1369.2772
107702053,1,2,2,1450.372874
